incident_id;department_id;date_opened;severity;status;incident_type;resolution_days
1038;2;29.07.2026;Low;Closed;Finance Share Permission Error;1
1039;3;01.08.2026;Low;Closed;Onboarding Access Delay;2
1040;5;04.08.2026;Medium;Closed;Duplicate Lead Sync Error;2
1041;4;07.08.2026;Critical;Closed;Production System Outage;8
1042;1;09.08.2026;High;Open;SIEM Alert Surge;
1043;6;12.08.2026;Low;Closed;Password Reset Backlog;1
1044;2;15.08.2026;Medium;Closed;Unexpected Role Assignment;2
1045;5;18.08.2026;Medium;Open;Sales Portal Login Instability;
1046;4;20.08.2026;High;Closed;Warehouse Scanner Network Failure;6
1047;3;23.08.2026;Low;Closed;HR Shared Mailbox Misroute;1
1048;1;26.08.2026;High;Closed;Admin Account Lockout;4
1049;2;29.08.2026;Medium;Open;Expense Tool Access Conflict;
1050;6;01.09.2026;Medium;Closed;Service Ticket Escalation Delay;3
1051;4;04.09.2026;High;Closed;Remote Access Certificate Error;5
1052;5;07.09.2026;Low;Closed;Spam Campaign Increase;1
1053;1;09.09.2026;Critical;Open;Credential Stuffing Attempt;
1054;3;12.09.2026;Low;Closed;Policy Document Sent Externally;2
1055;2;15.09.2026;Medium;Closed;Approval Workflow Access Issue;2
1056;4;18.09.2026;High;Open;Server Capacity Incident;
1057;6;20.09.2026;Medium;Closed;Call Routing System Error;4
1058;5;23.09.2026;Medium;Closed;Email Alias Misconfiguration;2
1059;1;26.09.2026;High;Closed;Malicious Script Detection;5
1060;2;29.09.2026;Low;Closed;Temporary Access Not Removed;1
1061;3;02.10.2026;Medium;Closed;Applicant Data Sent to Wrong Folder;2
1062;4;05.10.2026;Critical;Open;Backup Restore Failure;
1063;5;08.10.2026;High;Closed;Mass Password Lockout;3
1064;6;10.10.2026;Low;Closed;Knowledge Base Permission Issue;1
1065;1;13.10.2026;Medium;Closed;Suspicious Browser Extension Alert;2
1066;2;16.10.2026;Medium;Open;Unauthorized Report Download;
1067;4;19.10.2026;High;Closed;Distribution Center WiFi Failure;6
1068;3;21.10.2026;Low;Closed;Late Account Provisioning;1
1069;5;24.10.2026;Medium;Closed;Mobile CRM Sync Delay;2
1070;1;27.10.2026;High;Open;Potential Data Exfiltration Alert;
1071;6;30.10.2026;Medium;Closed;Ticket Priority Misclassification;3
1072;2;02.11.2026;Low;Closed;Invoice Folder Access Error;1
1073;4;05.11.2026;High;Closed;Operations Monitoring Agent Failure;4
1074;5;07.11.2026;Medium;Open;Partner Portal Authentication Error;
1075;3;10.11.2026;Low;Closed;HR Archive Permission Issue;2
1076;1;13.11.2026;Critical;Closed;Privileged Account Misuse Attempt;7
1077;2;16.11.2026;Medium;Closed;Expense Approval Delay Incident;2
1078;6;19.11.2026;Low;Closed;Customer Case Merge Error;1
1079;4;21.11.2026;High;Open;Patch Validation Failure;
1080;5;24.11.2026;Medium;Closed;Suspicious External Forwarding Rule;3
1081;1;27.11.2026;High;Closed;Email Security Gateway Alert;4
1082;3;30.11.2026;Low;Closed;Training List Distribution Error;1
1083;2;03.12.2026;Medium;Open;Finance Shared Account Login Alert;
1084;4;06.12.2026;High;Closed;Log Collection Interruption;5
1085;6;08.12.2026;Medium;Closed;Customer Response Queue Delay;2
1086;5;11.12.2026;Low;Closed;Contact Deduplication Failure;1
1087;1;14.12.2026;Critical;Open;Unauthorized PowerShell Execution;
1088;2;16.12.2026;Low;Closed;Read-Only Access Misconfiguration;1
1089;3;19.12.2026;Medium;Closed;Recruiting Folder Exposure;2
1090;4;22.12.2026;High;Closed;Warehouse Device Authentication Failure;4
1091;5;24.12.2026;Medium;Open;CRM Export Queue Failure;
1092;6;26.12.2026;Low;Closed;Service Desk Assignment Error;1
1093;1;27.12.2026;High;Closed;Multiple Failed Login Alerts;3
1094;2;28.12.2026;Medium;Closed;Quarter-End Access Exception;2
1095;3;29.12.2026;Low;Closed;Employee Record Visibility Error;1
1096;4;30.12.2026;Critical;Open;Operations Recovery Drill Failure;
1097;5;30.12.2026;High;Closed;Suspicious File Share Activity;4
1098;6;31.12.2026;Medium;Closed;Customer Ticket Tagging Error;2
1099;1;31.12.2026;Medium;Open;Patch Compliance Alert;
1100;4;31.12.2026;High;Closed;Monitoring Dashboard Outage;3
